id,presentation_position,condition_code,condition,condition_cn,order_raw,bcis_self_reflect,bcis_self_certainty,bcis_total,pre_bcis_self_reflect,pre_bcis_self_certainty,pre_bcis_total,initial_nfc,autonomy_satisfaction,autonomy_frustration,competence_satisfaction,competence_frustration,relatedness_satisfaction,relatedness_frustration,normative_influence,informational_influence
1,1,1,control,对照,1 2 3 4 5,27,14,13,26,16,10,56,12,4,10,7,11,7,18,29
1,2,2,concept,概念,1 2 3 4 5,33,11,22,26,16,10,56,12,4,10,7,11,7,18,29
1,3,3,emotion,情感,1 2 3 4 5,29,14,15,26,16,10,56,12,4,10,7,11,7,18,29
1,4,4,behavior,行为,1 2 3 4 5,31,15,16,26,16,10,56,12,4,10,7,11,7,18,29
1,5,5,environment,环境,1 2 3 4 5,35,14,21,26,16,10,56,12,4,10,7,11,7,18,29
2,1,2,concept,概念,2 3 4 5 1,24,19,5,21,19,2,47,11,7,12,7,12,4,25,30
2,2,3,emotion,情感,2 3 4 5 1,27,20,7,21,19,2,47,11,7,12,7,12,4,25,30
2,3,4,behavior,行为,2 3 4 5 1,25,21,4,21,19,2,47,11,7,12,7,12,4,25,30
2,4,5,environment,环境,2 3 4 5 1,28,20,8,21,19,2,47,11,7,12,7,12,4,25,30
2,5,1,control,对照,2 3 4 5 1,26,21,5,21,19,2,47,11,7,12,7,12,4,25,30
3,1,1,control,对照,1 3 5 2 4,23,24,-1,25,20,5,48,9,8,8,10,11,9,20,29
3,2,3,emotion,情感,1 3 5 2 4,25,22,3,25,20,5,48,9,8,8,10,11,9,20,29
3,3,5,environment,环境,1 3 5 2 4,25,24,1,25,20,5,48,9,8,8,10,11,9,20,29
3,4,2,concept,概念,1 3 5 2 4,23,22,1,25,20,5,48,9,8,8,10,11,9,20,29
3,5,4,behavior,行为,1 3 5 2 4,24,23,1,25,20,5,48,9,8,8,10,11,9,20,29
4,1,4,behavior,行为,4 5 1 2 3,31,16,15,32,16,16,51,12,8,10,8,11,10,18,24
4,2,5,environment,环境,4 5 1 2 3,31,16,15,32,16,16,51,12,8,10,8,11,10,18,24
4,3,1,control,对照,4 5 1 2 3,30,16,14,32,16,16,51,12,8,10,8,11,10,18,24
4,4,2,concept,概念,4 5 1 2 3,31,15,16,32,16,16,51,12,8,10,8,11,10,18,24
4,5,3,emotion,情感,4 5 1 2 3,30,16,14,32,16,16,51,12,8,10,8,11,10,18,24
5,1,3,emotion,情感,3 4 5 1 2,26,17,9,25,17,8,48,9,9,8,9,7,9,22,23
5,2,4,behavior,行为,3 4 5 1 2,26,17,9,25,17,8,48,9,9,8,9,7,9,22,23
5,3,5,environment,环境,3 4 5 1 2,28,17,11,25,17,8,48,9,9,8,9,7,9,22,23
5,4,1,control,对照,3 4 5 1 2,27,18,9,25,17,8,48,9,9,8,9,7,9,22,23
5,5,2,concept,概念,3 4 5 1 2,27,16,11,25,17,8,48,9,9,8,9,7,9,22,23
6,1,5,environment,环境,5 4 1 2 3,32,18,14,33,17,16,50,9,11,10,8,10,8,27,30
6,2,4,behavior,行为,5 4 1 2 3,34,18,16,33,17,16,50,9,11,10,8,10,8,27,30
6,3,1,control,对照,5 4 1 2 3,31,17,14,33,17,16,50,9,11,10,8,10,8,27,30
6,4,2,concept,概念,5 4 1 2 3,36,18,18,33,17,16,50,9,11,10,8,10,8,27,30
6,5,3,emotion,情感,5 4 1 2 3,34,18,16,33,17,16,50,9,11,10,8,10,8,27,30
7,1,2,concept,概念,2 4 1 3 5,29,21,8,28,21,7,33,10,8,9,9,12,4,29,31
7,2,4,behavior,行为,2 4 1 3 5,29,20,9,28,21,7,33,10,8,9,9,12,4,29,31
7,3,1,control,对照,2 4 1 3 5,28,20,8,28,21,7,33,10,8,9,9,12,4,29,31
7,4,3,emotion,情感,2 4 1 3 5,29,21,8,28,21,7,33,10,8,9,9,12,4,29,31
7,5,5,environment,环境,2 4 1 3 5,29,22,7,28,21,7,33,10,8,9,9,12,4,29,31
8,1,3,emotion,情感,3 5 2 4 1,25,22,3,23,21,2,45,11,6,9,6,8,8,18,24
8,2,5,environment,环境,3 5 2 4 1,25,22,3,23,21,2,45,11,6,9,6,8,8,18,24
8,3,2,concept,概念,3 5 2 4 1,25,21,4,23,21,2,45,11,6,9,6,8,8,18,24
8,4,4,behavior,行为,3 5 2 4 1,25,22,3,23,21,2,45,11,6,9,6,8,8,18,24
8,5,1,control,对照,3 5 2 4 1,25,22,3,23,21,2,45,11,6,9,6,8,8,18,24
9,1,4,behavior,行为,4 1 3 5 2,42,20,22,32,20,12,58,11,8,14,9,11,12,22,28
9,2,1,control,对照,4 1 3 5 2,32,20,12,32,20,12,58,11,8,14,9,11,12,22,28
9,3,3,emotion,情感,4 1 3 5 2,35,19,16,32,20,12,58,11,8,14,9,11,12,22,28
9,4,5,environment,环境,4 1 3 5 2,43,20,23,32,20,12,58,11,8,14,9,11,12,22,28
9,5,2,concept,概念,4 1 3 5 2,35,21,14,32,20,12,58,11,8,14,9,11,12,22,28
10,1,5,environment,环境,5 2 4 1 3,26,16,10,27,16,11,54,11,3,11,6,11,9,19,26
10,2,2,concept,概念,5 2 4 1 3,26,15,11,27,16,11,54,11,3,11,6,11,9,19,26
10,3,4,behavior,行为,5 2 4 1 3,26,15,11,27,16,11,54,11,3,11,6,11,9,19,26
10,4,1,control,对照,5 2 4 1 3,27,15,12,27,16,11,54,11,3,11,6,11,9,19,26
10,5,3,emotion,情感,5 2 4 1 3,27,14,13,27,16,11,54,11,3,11,6,11,9,19,26
11,1,1,control,对照,1 4 2 5 3,27,20,7,26,20,6,45,14,2,14,4,14,2,19,24
11,2,4,behavior,行为,1 4 2 5 3,27,20,7,26,20,6,45,14,2,14,4,14,2,19,24
11,3,2,concept,概念,1 4 2 5 3,27,19,8,26,20,6,45,14,2,14,4,14,2,19,24
11,4,5,environment,环境,1 4 2 5 3,26,20,6,26,20,6,45,14,2,14,4,14,2,19,24
11,5,3,emotion,情感,1 4 2 5 3,26,20,6,26,20,6,45,14,2,14,4,14,2,19,24
12,1,3,emotion,情感,3 1 4 2 5,24,14,10,21,14,7,36,11,7,9,7,9,5,20,27
12,2,1,control,对照,3 1 4 2 5,24,14,10,21,14,7,36,11,7,9,7,9,5,20,27
12,3,4,behavior,行为,3 1 4 2 5,24,14,10,21,14,7,36,11,7,9,7,9,5,20,27
12,4,2,concept,概念,3 1 4 2 5,24,14,10,21,14,7,36,11,7,9,7,9,5,20,27
12,5,5,environment,环境,3 1 4 2 5,24,14,10,21,14,7,36,11,7,9,7,9,5,20,27
13,1,4,behavior,行为,4 2 5 3 1,32,19,13,30,20,10,42,12,7,8,5,8,5,10,25
13,2,2,concept,概念,4 2 5 3 1,31,13,18,30,20,10,42,12,7,8,5,8,5,10,25
13,3,5,environment,环境,4 2 5 3 1,32,18,14,30,20,10,42,12,7,8,5,8,5,10,25
13,4,3,emotion,情感,4 2 5 3 1,27,23,4,30,20,10,42,12,7,8,5,8,5,10,25
13,5,1,control,对照,4 2 5 3 1,31,21,10,30,20,10,42,12,7,8,5,8,5,10,25
14,1,5,environment,环境,5 3 1 4 2,28,18,10,29,15,14,48,12,4,10,11,13,6,21,27
14,2,3,emotion,情感,5 3 1 4 2,30,15,15,29,15,14,48,12,4,10,11,13,6,21,27
14,3,1,control,对照,5 3 1 4 2,34,16,18,29,15,14,48,12,4,10,11,13,6,21,27
14,4,4,behavior,行为,5 3 1 4 2,34,16,18,29,15,14,48,12,4,10,11,13,6,21,27
14,5,2,concept,概念,5 3 1 4 2,36,15,21,29,15,14,48,12,4,10,11,13,6,21,27
15,1,1,control,对照,1 5 4 3 2,25,20,5,30,20,10,54,12,4,12,4,12,4,17,14
15,2,5,environment,环境,1 5 4 3 2,28,19,9,30,20,10,54,12,4,12,4,12,4,17,14
15,3,4,behavior,行为,1 5 4 3 2,30,20,10,30,20,10,54,12,4,12,4,12,4,17,14
15,4,3,emotion,情感,1 5 4 3 2,28,20,8,30,20,10,54,12,4,12,4,12,4,17,14
15,5,2,concept,概念,1 5 4 3 2,29,20,9,30,20,10,54,12,4,12,4,12,4,17,14
16,1,2,concept,概念,2 1 5 4 3,26,21,5,27,21,6,57,10,4,8,6,12,6,20,29
16,2,1,control,对照,2 1 5 4 3,23,20,3,27,21,6,57,10,4,8,6,12,6,20,29
16,3,5,environment,环境,2 1 5 4 3,24,22,2,27,21,6,57,10,4,8,6,12,6,20,29
16,4,4,behavior,行为,2 1 5 4 3,25,22,3,27,21,6,57,10,4,8,6,12,6,20,29
16,5,3,emotion,情感,2 1 5 4 3,25,24,1,27,21,6,57,10,4,8,6,12,6,20,29
17,1,3,emotion,情感,3 2 1 5 4,25,17,8,23,19,4,46,12,6,10,6,10,8,18,24
17,2,2,concept,概念,3 2 1 5 4,24,19,5,23,19,4,46,12,6,10,6,10,8,18,24
17,3,1,control,对照,3 2 1 5 4,23,19,4,23,19,4,46,12,6,10,6,10,8,18,24
17,4,5,environment,环境,3 2 1 5 4,26,19,7,23,19,4,46,12,6,10,6,10,8,18,24
17,5,4,behavior,行为,3 2 1 5 4,23,19,4,23,19,4,46,12,6,10,6,10,8,18,24
18,1,4,behavior,行为,4 3 2 1 5,32,16,16,34,18,16,49,10,10,9,12,13,10,23,27
18,2,3,emotion,情感,4 3 2 1 5,29,17,12,34,18,16,49,10,10,9,12,13,10,23,27
18,3,2,concept,概念,4 3 2 1 5,31,18,13,34,18,16,49,10,10,9,12,13,10,23,27
18,4,1,control,对照,4 3 2 1 5,31,16,15,34,18,16,49,10,10,9,12,13,10,23,27
18,5,5,environment,环境,4 3 2 1 5,31,15,16,34,18,16,49,10,10,9,12,13,10,23,27
19,1,5,environment,环境,5 4 3 2 1,31,20,11,34,17,17,33,12,13,6,12,6,11,32,32
19,2,4,behavior,行为,5 4 3 2 1,31,22,9,34,17,17,33,12,13,6,12,6,11,32,32
19,3,3,emotion,情感,5 4 3 2 1,30,22,8,34,17,17,33,12,13,6,12,6,11,32,32
19,4,2,concept,概念,5 4 3 2 1,33,22,11,34,17,17,33,12,13,6,12,6,11,32,32
19,5,1,control,对照,5 4 3 2 1,30,22,8,34,17,17,33,12,13,6,12,6,11,32,32
20,1,1,control,对照,1 2 5 4 3,36,23,13,34,22,12,66,10,10,13,9,13,12,23,30
20,2,2,concept,概念,1 2 5 4 3,36,17,19,34,22,12,66,10,10,13,9,13,12,23,30
20,3,5,environment,环境,1 2 5 4 3,36,21,15,34,22,12,66,10,10,13,9,13,12,23,30
20,4,4,behavior,行为,1 2 5 4 3,37,18,19,34,22,12,66,10,10,13,9,13,12,23,30
20,5,3,emotion,情感,1 2 5 4 3,36,17,19,34,22,12,66,10,10,13,9,13,12,23,30
21,1,3,emotion,情感,3 4 2 1 5,24,27,-3,21,27,-6,45,14,10,14,6,9,6,5,28
21,2,4,behavior,行为,3 4 2 1 5,25,27,-2,21,27,-6,45,14,10,14,6,9,6,5,28
21,3,2,concept,概念,3 4 2 1 5,24,27,-3,21,27,-6,45,14,10,14,6,9,6,5,28
21,4,1,control,对照,3 4 2 1 5,24,27,-3,21,27,-6,45,14,10,14,6,9,6,5,28
21,5,5,environment,环境,3 4 2 1 5,28,27,1,21,27,-6,45,14,10,14,6,9,6,5,28
22,1,4,behavior,行为,4 5 3 2 1,30,18,12,20,17,3,51,12,10,9,8,8,10,20,22
22,2,5,environment,环境,4 5 3 2 1,28,15,13,20,17,3,51,12,10,9,8,8,10,20,22
22,3,3,emotion,情感,4 5 3 2 1,27,18,9,20,17,3,51,12,10,9,8,8,10,20,22
22,4,2,concept,概念,4 5 3 2 1,24,18,6,20,17,3,51,12,10,9,8,8,10,20,22
22,5,1,control,对照,4 5 3 2 1,24,15,9,20,17,3,51,12,10,9,8,8,10,20,22
23,1,5,environment,环境,5 1 4 3 2,32,18,14,33,16,17,44,12,8,7,12,6,10,19,26
23,2,1,control,对照,5 1 4 3 2,32,18,14,33,16,17,44,12,8,7,12,6,10,19,26
23,3,4,behavior,行为,5 1 4 3 2,32,18,14,33,16,17,44,12,8,7,12,6,10,19,26
23,4,3,emotion,情感,5 1 4 3 2,32,18,14,33,16,17,44,12,8,7,12,6,10,19,26
23,5,2,concept,概念,5 1 4 3 2,33,16,17,33,16,17,44,12,8,7,12,6,10,19,26
24,1,1,control,对照,1 3 2 5 4,29,19,10,31,18,13,46,12,11,10,9,10,8,25,29
24,2,3,emotion,情感,1 3 2 5 4,30,19,11,31,18,13,46,12,11,10,9,10,8,25,29
24,3,2,concept,概念,1 3 2 5 4,29,18,11,31,18,13,46,12,11,10,9,10,8,25,29
24,4,5,environment,环境,1 3 2 5 4,29,18,11,31,18,13,46,12,11,10,9,10,8,25,29
24,5,4,behavior,行为,1 3 2 5 4,29,20,9,31,18,13,46,12,11,10,9,10,8,25,29
25,1,2,concept,概念,2 4 3 1 5,35,7,28,26,10,16,57,12,6,12,6,13,6,27,27
25,2,4,behavior,行为,2 4 3 1 5,35,7,28,26,10,16,57,12,6,12,6,13,6,27,27
25,3,3,emotion,情感,2 4 3 1 5,35,7,28,26,10,16,57,12,6,12,6,13,6,27,27
25,4,1,control,对照,2 4 3 1 5,27,7,20,26,10,16,57,12,6,12,6,13,6,27,27
25,5,5,environment,环境,2 4 3 1 5,35,7,28,26,10,16,57,12,6,12,6,13,6,27,27
26,1,3,emotion,情感,3 5 4 2 1,25,19,6,27,22,5,43,12,2,9,7,6,10,24,28
26,2,5,environment,环境,3 5 4 2 1,25,18,7,27,22,5,43,12,2,9,7,6,10,24,28
26,3,4,behavior,行为,3 5 4 2 1,22,18,4,27,22,5,43,12,2,9,7,6,10,24,28
26,4,2,concept,概念,3 5 4 2 1,22,19,3,27,22,5,43,12,2,9,7,6,10,24,28
26,5,1,control,对照,3 5 4 2 1,22,17,5,27,22,5,43,12,2,9,7,6,10,24,28
27,1,5,environment,环境,5 2 1 4 3,29,14,15,30,17,13,56,9,11,8,8,10,9,18,22
27,2,2,concept,概念,5 2 1 4 3,30,15,15,30,17,13,56,9,11,8,8,10,9,18,22
27,3,1,control,对照,5 2 1 4 3,29,19,10,30,17,13,56,9,11,8,8,10,9,18,22
27,4,4,behavior,行为,5 2 1 4 3,29,16,13,30,17,13,56,9,11,8,8,10,9,18,22
27,5,3,emotion,情感,5 2 1 4 3,33,18,15,30,17,13,56,9,11,8,8,10,9,18,22
28,1,3,emotion,情感,3 2 1 4 5,26,20,6,23,16,7,54,10,8,12,5,13,8,27,27
28,2,2,concept,概念,3 2 1 4 5,28,18,10,23,16,7,54,10,8,12,5,13,8,27,27
28,3,1,control,对照,3 2 1 4 5,28,18,10,23,16,7,54,10,8,12,5,13,8,27,27
28,4,4,behavior,行为,3 2 1 4 5,28,18,10,23,16,7,54,10,8,12,5,13,8,27,27
28,5,5,environment,环境,3 2 1 4 5,28,18,10,23,16,7,54,10,8,12,5,13,8,27,27
29,1,2,concept,概念,2 1 4 5 3,29,16,13,29,16,13,26,11,14,8,11,12,11,28,32
29,2,1,control,对照,2 1 4 5 3,28,18,10,29,16,13,26,11,14,8,11,12,11,28,32
29,3,4,behavior,行为,2 1 4 5 3,27,16,11,29,16,13,26,11,14,8,11,12,11,28,32
29,4,5,environment,环境,2 1 4 5 3,29,16,13,29,16,13,26,11,14,8,11,12,11,28,32
29,5,3,emotion,情感,2 1 4 5 3,29,16,13,29,16,13,26,11,14,8,11,12,11,28,32
30,1,1,control,对照,1 2 5 4 3,28,19,9,26,24,2,42,12,6,12,6,10,4,13,23
30,2,2,concept,概念,1 2 5 4 3,30,19,11,26,24,2,42,12,6,12,6,10,4,13,23
30,3,5,environment,环境,1 2 5 4 3,30,19,11,26,24,2,42,12,6,12,6,10,4,13,23
30,4,4,behavior,行为,1 2 5 4 3,30,19,11,26,24,2,42,12,6,12,6,10,4,13,23
30,5,3,emotion,情感,1 2 5 4 3,30,19,11,26,24,2,42,12,6,12,6,10,4,13,23
31,1,4,behavior,行为,4 3 2 5 1,31,20,11,31,20,11,44,9,8,11,8,10,5,20,27
31,2,3,emotion,情感,4 3 2 5 1,31,20,11,31,20,11,44,9,8,11,8,10,5,20,27
31,3,2,concept,概念,4 3 2 5 1,32,19,13,31,20,11,44,9,8,11,8,10,5,20,27
31,4,5,environment,环境,4 3 2 5 1,31,20,11,31,20,11,44,9,8,11,8,10,5,20,27
31,5,1,control,对照,4 3 2 5 1,31,19,12,31,20,11,44,9,8,11,8,10,5,20,27
32,1,4,behavior,行为,4 3 5 2 1,30,15,15,28,18,11,42,10,6,7,12,10,10,25,25
32,2,3,emotion,情感,4 3 5 2 1,30,15,15,28,18,11,42,10,6,7,12,10,10,25,25
32,3,5,environment,环境,4 3 5 2 1,30,16,14,28,18,11,42,10,6,7,12,10,10,25,25
32,4,2,concept,概念,4 3 5 2 1,28,17,11,28,18,11,42,10,6,7,12,10,10,25,25
32,5,1,control,对照,4 3 5 2 1,28,17,11,28,18,11,42,10,6,7,12,10,10,25,25
